시가,고가,저가,종가,거래량,거래대금,등락률
6150,6370,5690,5830,424690,2530554110,-0.68
5800,5860,5590,5700,910328,5186217970,-3.55
1520,1540,1495,1510,73959,112184865,-0.66
16450,16550,15550,15600,743144,11891334500,-4.0
826,891,821,891,447874,387202597,8.39
2790,2840,2760,2800,62500,174818855,0.0
11850,11900,11400,11800,245838,2871591350,0.0
10600,10700,10350,10500,37665,395353800,0.0
3810,3845,3795,3805,41178,157438105,0.26
6250,6370,6170,6340,972196,6109554180,2.26
5350,5360,5290,5300,574330,3052356090,-0.19
5870,6180,5710,6060,596284,3561120710,3.24
947,954,938,950,55048,51915659,-0.42
4280,4280,4130,4160,47649,198937270,-1.42
3505,3900,3460,3755,33101447,124951071415,7.13
38500,38950,37450,37450,551943,20904224000,-2.73
14900,15000,13450,13700,341057,4851494750,-7.74
9420,9480,9400,9440,5047,47589970,0.32
7190,7310,7120,7200,25471,184079740,0.56
4315,4350,4260,4300,23504,101071740,0.23
4470,4505,4440,4505,12557,56197940,1.12
9010,9060,8950,9030,5076,45652340,0.22
778,792,761,770,340164,265702222,-0.52
23300,24150,21750,22550,1304267,29905760450,-2.59
12600,12750,12400,12550,305686,3850776250,0.8
65700,68000,64800,66900,117885,7861797900,3.4
8030,8030,7800,7860,33700,265489920,-1.5
10550,10600,10400,10500,8822,92382000,0.0
630,641,630,630,124075,78733150,-0.94
2735,2805,2730,2750,639243,1772581110,0.73
1680,1705,1650,1665,590593,993099305,0.0
9470,9470,9160,9170,394273,3653065610,-3.17
3095,3200,2850,3025,723713,2191678760,-0.98
2030,2190,2000,2150,758448,1604100160,5.91
2405,2440,2380,2415,103906,248669645,0.42
2065,2080,2065,2080,2529,5245325,0.0
2060,2075,2060,2075,10909,22612730,0.24
1260,1260,1225,1240,391092,483714070,-0.8
3260,3400,3200,3220,1562680,5147444310,-0.31
12100,12150,12000,12000,4498,54113700,0.0
0,0,0,3260,0,0,0.0
7060,7060,6950,7040,13474,93966520,0.57
16100,16200,14750,14800,411576,6398240050,-2.63
5610,5670,5530,5640,10746,60334580,0.89
3930,4010,3920,3965,318161,1262740015,0.89
5630,5640,5510,5620,8396,46820660,1.44
16850,17300,16700,16750,73653,1246708100,-0.59
2345,2375,2290,2310,657556,1529251770,-0.86
83500,83600,82100,82700,64163,5307985900,0.85
328,345,324,328,4180806,1391830319,1.23
2870,3130,2870,2940,614066,1851467725,1.91
7250,7270,7120,7160,16289,116820310,-0.97
2705,2715,2640,2695,1711331,4563074275,-0.19
646,663,637,644,2087308,1353139217,-0.92
9080,9090,8990,9080,28040,253642930,0.33
29850,29850,29400,29700,2483,73390300,0.0
5400,5410,5300,5360,25251,134929930,0.0
9560,9560,9390,9390,2377,22348500,-2.19
9430,9440,9180,9230,68742,638759260,-2.12
30400,30400,29450,29850,82772,2458573050,-1.0
44200,45100,44100,44300,146417,6526888400,-0.45
1950,2015,1910,1945,282260,554919040,-0.26
7720,7900,7580,7700,57492,444144330,0.79
37250,37300,35100,35100,381607,13535649650,-5.52
14650,14650,14350,14450,31125,449830250,-0.69
5550,5550,5380,5420,345423,1883872220,-1.63
1925,1955,1880,1930,938064,1806821600,0.78
7310,7360,7190,7250,150090,1088702220,-0.96
60500,60900,58900,59100,73993,4403875900,-1.83
6300,6390,6070,6110,776463,4823219880,-3.02
12900,13050,12450,12650,266104,3368449050,-1.17
8270,8270,8160,8180,31208,256019090,-0.73
5970,5970,5850,5940,101145,599281690,0.17
6110,6200,6060,6100,50398,307467880,0.49
4815,5290,4810,4935,6539040,33552090255,5.0
3915,4440,3910,4010,9527318,40703228860,4.56
3500,3600,3455,3475,319084,1123468245,0.29
16150,16400,16100,16350,36874,599414400,0.93
2670,2690,2650,2660,40021,106858740,-0.19
10800,10950,10750,10900,149276,1622861000,1.87
14600,14950,14450,14650,45970,673848000,0.34
6750,6840,6610,6800,52524,351961420,0.89
9350,9640,9330,9380,181550,1722662090,0.86
2055,2120,2055,2105,54928,114908755,2.68
14950,16350,14850,14900,763392,11802870300,-0.33
3290,3800,3195,3555,5040057,18294356550,10.23
2710,2710,2660,2670,65744,175416955,-0.56
9300,9300,9020,9090,109849,1001638800,-1.3
3450,3455,3390,3400,106165,361316485,-0.87
22650,23850,22500,23150,110717,2541816300,2.21
13550,14100,13550,13950,31236,434737350,2.95
1885,1920,1880,1890,21742,41239730,0.53
32700,32700,31850,32000,377386,12140174050,-1.08
52600,53000,51500,52500,30002,1568860000,0.38
32150,32150,30950,31100,167882,5242600350,-2.96
1975,1995,1960,1990,7972,15717335,1.53
800,800,779,784,967614,761712101,-0.88
3165,3170,2910,2935,1705435,5184127140,-3.61
11800,12800,11800,12150,63845,795304050,3.85
2800,2825,2775,2785,12061,33611845,-0.54
1200,1255,1200,1230,253633,312552465,1.65
476,527,473,510,2564827,1308276333,7.14
14950,15000,14600,14800,4368,64214300,-0.67
4600,4630,4570,4585,18414,84498650,-0.33
6340,6340,6070,6150,20272,124693510,0.82
0,0,0,2380,0,0,0.0
10850,10850,10650,10750,4477,47971950,0.0
1470,1490,1445,1450,410486,601072530,-1.36
28550,30200,25850,25950,1969396,55573120150,-1.33
35750,37800,35050,36450,1651023,60270385350,4.44
0,0,0,1335,0,0,0.0
5750,5770,5650,5660,27624,157463300,-1.39
3380,3380,3290,3305,123880,411666425,-1.2
2780,2810,2750,2810,23780,66064800,1.26
0,0,0,7740,0,0,0.0
3845,3870,3770,3855,26892,103262870,0.13
14400,14450,14100,14300,65408,933182050,0.0
20500,20550,20000,20150,82616,1671860400,-0.25
1185,1190,1145,1170,168737,197270635,-1.27
1700,1720,1680,1695,20566,34876435,-0.29
41600,41650,40750,41100,25571,1049414900,-0.6
10100,10200,9970,10050,237826,2389502290,-0.5
991,996,977,985,124574,122591936,-0.1
3120,3120,3000,3100,45437,138608095,0.0
4350,4360,4250,4250,17785,76258520,-2.3
6800,6810,6730,6800,15490,105123830,0.59
2640,2640,2580,2590,402681,1051516120,-0.77
11000,11550,11000,11450,147832,1683729300,4.09
2975,3000,2935,2940,34562,102386480,-1.01
8570,8650,8440,8440,74318,632830810,-1.29
5170,5190,4925,4950,349471,1747281505,-5.17
9900,10100,9800,10000,67365,671553870,1.11
1475,1620,1455,1475,1676924,2591359485,0.0
6040,6050,5880,5950,18046,107300930,0.68
5240,5270,5100,5200,28920,149576140,0.39
2690,2700,2385,2385,2934297,7467299810,-4.79
